DomInt,DayBoarding,Countries,Languages,DualCitizenship
Domestic,Day,1,1,No
International,Boarding,2,3,No
Domestic,Day,1,1,Yes
International,Boarding,5,3,No
Domestic,Boarding,1,1,No
Domestic,Day,3,1,No
Domestic,Day,0,2,No
International,Boarding,9,2,No
International,Boarding,11,4,No
International,Boarding,3,2,No
International,Boarding,14,2,No
International,Boarding,6,4,No
Domestic,Day,15,1,No
International,Boarding,15,3,No
International,Boarding,9,2,No
Domestic,Boarding,4,2,No
Domestic,Boarding,2,1,No
International,Boarding,15,3,No
International,Boarding,2,2,No
Domestic,Day,7,1,No
Domestic,Boarding,7,1,No
Domestic,Day,1,1,No
Domestic,Boarding,22,1,No
International,Boarding,15,4,Yes
International,Boarding,8,2,No
Domestic,Day,5,1,No
Domestic,Day,7,1,Yes
Domestic,Day,9,1,No
Domestic,Day,6,2,No
Domestic,Day,3,1,No
Domestic,Day,5,1,No
Domestic,Day,3,1,No
Domestic,Boarding,2,1,No
International,Boarding,20,2,No
International,Boarding,10,3,No
International,Boarding,7,3,No
Domestic,Day,2,2,No
Domestic,Day,1,1,No
International,Boarding,13,3,No
Domestic,Boarding,3,2,Yes
International,Boarding,5,2,No
Domestic,Day,1,1,No
Domestic,Day,2,2,No
Domestic,Boarding,1,1,No
International,Boarding,1,1,No
International,Boarding,11,1,Yes
International,Boarding,10,2,No
Domestic,Day,1,1,No
International,Boarding,9,2,No
International,Boarding,22,1,No
International,Boarding,3,4,No
Domestic,Boarding,9,1,Yes
International,Boarding,7,2,No
International,Boarding,20,1,Yes
International,Boarding,10,4,No
Domestic,Day,1,1,No
International,Boarding,20,3,No
Domestic,Boarding,0,1,No
International,Boarding,6,1,No
International,Boarding,5,2,No
International,Boarding,5,2,No
Domestic,Day,14,1,No
Domestic,Boarding,6,1,No
Domestic,Day,2,3,No
Domestic,Day,7,2,No
International,Boarding,6,4,No
Domestic,Day,1,1,No
International,Boarding,9,1,Yes
Domestic,Day,6,1,No
Domestic,Day,1,1,No
Domestic,Day,6,1,No
International,Boarding,9,2,No
International,Boarding,20,5,Yes
Domestic,Day,15,1,No
Domestic,Boarding,1,1,No
Domestic,Boarding,1,1,No
International,Boarding,13,3,No
International,Boarding,50,2,No
Domestic,Boarding,10,1,Yes
International,Boarding,4,1,No
International,Boarding,2,2,No
Domestic,Day,1,1,No
International,Boarding,14,4,No
Domestic,Day,2,1,No
Domestic,Day,1,1,No
Domestic,Day,2,1,No
Domestic,Day,2,1,No
Domestic,Boarding,8,3,No
Domestic,Day,2,1,No
International,Boarding,12,2,Yes
International,Boarding,10,1,No
Domestic,Day,2,1,No
Domestic,Day,2,1,No
Domestic,Boarding,5,2,Yes
International,Boarding,1,2,No
